Vivado Simulator 2020.2
Time resolution is 1 ps
Time:               115000, Counter:         -71, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               117000, Counter:         -70, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               119000, Counter:         -69, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               121000, Counter:         -68, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               123000, Counter:         -67, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               125000, Counter:         -66, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               127000, Counter:         -65, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               129000, Counter:         -64, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               131000, Counter:         -63, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               133000, Counter:         -62, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               135000, Counter:         -61, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               137000, Counter:         -60, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               139000, Counter:         -59, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               141000, Counter:         -58, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               143000, Counter:         -57, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               145000, Counter:         -56, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               147000, Counter:         -55, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               149000, Counter:         -54, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               151000, Counter:         -53, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               153000, Counter:         -52, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               155000, Counter:         -51, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               157000, Counter:         -50, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               159000, Counter:         -49, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               161000, Counter:         -48, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               163000, Counter:         -47, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               165000, Counter:         -46, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               167000, Counter:         -45, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               169000, Counter:         -44, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               171000, Counter:         -43, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               173000, Counter:         -42, U: 0, V: 0, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               175000, Counter:         -41, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               177000, Counter:         -40, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               179000, Counter:         -39, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               181000, Counter:         -38, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               183000, Counter:         -37, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               185000, Counter:         -36, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               187000, Counter:         -35, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               189000, Counter:         -34, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               191000, Counter:         -33, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               193000, Counter:         -32, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               195000, Counter:         -31, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               197000, Counter:         -30, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
